City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Siverek,TR,37.755,39.3167,57.54,93,86,15.12,moderate rain
202,Sagarejo,GE,41.734,45.3315,63.03,90,77,3.29,broken clouds
203,Walvis Bay,NA,-22.9575,14.5053,58.08,75,1,12.5,clear sky
204,Alcudia,ES,39.8532,3.1214,68.38,75,78,3.91,broken clouds
205,Bilibino,RU,68.0546,166.4372,-1.16,99,88,3.49,overcast clouds
206,Saint George,US,37.1041,-113.5841,75.63,15,0,4.0,clear sky
207,Paka,MY,4.6374,103.4368,78.78,88,58,4.18,broken clouds
208,Mariental,NA,-24.6333,17.9667,68.85,20,0,12.86,clear sky
209,Poum,NC,-20.2333,164.0167,75.85,76,6,5.91,clear sky
210,Oranjemund,NA,-28.55,16.4333,56.7,88,0,16.31,clear sky
211,Hobart,AU,-42.8794,147.3294,57.06,86,100,9.22,overcast clouds
212,Atar,MR,20.5169,-13.0499,96.85,6,0,8.37,clear sky
213,Klaksvik,FO,62.2266,-6.589,49.12,87,96,9.84,overcast clouds
214,Olafsvik,IS,64.8945,-23.7142,45.57,83,76,15.61,broken clouds
215,Toledo,ES,39.8333,-4.0,69.82,48,79,9.75,broken clouds
216,Anadyr,RU,64.75,177.4833,26.01,79,100,20.0,overcast clouds
217,Shimanovsk,RU,52.0,127.7,37.65,48,99,8.32,overcast clouds
218,Narsaq,GL,60.9167,-46.05,57.42,58,32,3.42,scattered clouds
219,Krasnoselkup,RU,65.7,82.4667,16.61,90,54,13.04,broken clouds
220,Ko Samui,TH,9.5357,99.9357,84.11,73,76,9.24,broken clouds
221,Spring Hill,US,28.4769,-82.5255,86.99,51,64,3.0,broken clouds
222,Buala,SB,-8.145,159.5921,79.23,81,92,0.65,overcast clouds
223,Fortuna,US,40.5982,-124.1573,53.94,92,99,1.99,overcast clouds
224,Pisco,PE,-13.7,-76.2167,72.01,75,56,8.12,broken clouds
225,Komsomolskiy,UZ,40.4272,71.7189,72.32,53,17,4.61,few clouds
226,Eureka,US,40.8021,-124.1637,54.57,76,97,5.01,overcast clouds
227,Safonovo,RU,55.15,33.2167,38.07,66,84,4.03,broken clouds
228,Ahipara,NZ,-35.1667,173.1667,57.24,88,19,5.97,few clouds
229,Mabaruma,GY,8.2,-59.7833,86.68,60,99,8.9,overcast clouds
230,Georgetown,MY,5.4112,100.3354,82.33,83,20,2.3,few clouds
231,Bobon,PH,12.5246,124.5636,76.87,92,99,4.92,overcast clouds
232,Teguise,ES,29.0605,-13.564,70.02,60,20,19.57,few clouds
233,Shizunai,JP,42.3339,142.3669,43.81,54,100,3.8,overcast clouds
234,Saskylakh,RU,71.9167,114.0833,13.42,93,100,16.35,overcast clouds
235,Kailua,US,21.4022,-157.7394,75.65,80,100,5.99,overcast clouds
236,Suba,PH,10.8438,121.0102,83.79,74,100,4.79,overcast clouds
237,Saint Anthony,US,45.0205,-93.218,51.93,88,100,14.97,overcast clouds
238,Tevaitoa,PF,-16.7833,-151.5,80.94,73,14,17.47,light rain
239,Port Keats,AU,-14.25,129.55,78.58,81,24,5.7,few clouds
